name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,17-09-2022,12.8,6.8,9.2,12.8,3.3,7.2,5.1,76.8,6.616,100,12.5,rain,0,0,59.4,39,322.2,1005.7,84.9,11.1,173.3,15.2,9,10,2022-09-17T06:00:56,2022-09-17T17:56:00,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,F4257,94925099999,94927099999,F0067,95716099999,94926099999"
australia,18-09-2022,13.4,6.9,9.6,13.4,3.5,7.5,4.4,70.8,4.426,100,12.5,rain,0,0,57.6,41.3,318.1,1009.9,72.8,11.2,108.3,9.1,4,10,2022-09-18T05:59:29,2022-09-18T17:56:45,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,19-09-2022,14.7,2.9,9.7,14.7,0.5,8.1,2.4,62.4,0.128,100,8.33,rain,0,0,58,30.3,317.9,1014.9,46.2,10,233.9,20.2,10,10,2022-09-19T05:58:02,2022-09-19T17:57:29,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,20-09-2022,18,-1.9,7.6,18,-2.4,7.1,1.1,69.7,0,0,0,,0,0,11.9,14.5,7.9,1020.8,20.5,10,249.9,21.5,8,10,2022-09-20T05:56:35,2022-09-20T17:58:14,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,21-09-2022,17.7,3.9,11.1,17.7,3,11,8,82.4,1.458,100,4.17,rain,0,0,30.6,19.7,43.1,1018.2,94.1,10,111,9.7,4,10,2022-09-21T05:55:08,2022-09-21T17:58:58,0.84,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,22-09-2022,16.6,10.8,13,16.6,10.8,13,10.7,86.5,0.88,100,12.5,rain,0,0,40.7,21.6,96.6,1018.6,96.6,9.7,92.6,8,3,10,2022-09-22T05:53:40,2022-09-22T17:59:43,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,F4257,94925099999,94927099999,F0067,95716099999,94926099999"
australia,23-09-2022,19,11.8,14.4,19,11.8,14.4,10.7,79.6,0.128,100,12.5,rain,0,0,21.6,17.7,341.9,1015.3,97.3,10,177.8,15.2,7,10,2022-09-23T05:52:13,2022-09-23T18:00:28,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,24-09-2022,15.9,8.7,12.1,15.9,6.8,11.9,8,77.5,7.498,100,16.67,rain,0,0,29.5,26.4,281.8,1011.7,82.3,10,143.6,12.4,6,10,2022-09-24T05:50:46,2022-09-24T18:01:13,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,25-09-2022,16.7,1.2,9,16.7,-0.9,8.2,4.2,75.5,0.039,100,8.33,rain,0,0,32.8,28.5,356.7,1015.8,51.3,9.3,250.9,21.6,8,10,2022-09-25T05:49:19,2022-09-25T18:01:59,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,26-09-2022,17.9,3.9,10.8,17.9,1.7,10.5,4.9,71,0,0,0,rain,0,0,32.8,24.4,347.2,1016.3,90.6,10,211.3,18.4,8,10,2022-09-26T05:47:52,2022-09-26T18:02:44,0,Overcast,Cloudy skies throughout the day.,cloudy,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,27-09-2022,16.9,9,11.8,16.9,8,11.4,10.1,90.3,5.584,100,12.5,rain,0,0,25.9,16.3,12.5,1012.6,91,9.5,125.6,10.9,10,10,2022-09-27T05:46:25,2022-09-27T18:03:30,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,28-09-2022,13.6,7.1,10,13.6,5.4,9.4,8.2,89.5,5.419,100,12.5,rain,0,0,10.4,28.7,175.3,1013.2,87.4,9.7,143.2,12.3,10,10,2022-09-28T05:44:59,2022-09-28T18:04:16,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,29-09-2022,15.9,6.4,11.4,15.9,3.8,10.8,8,80.7,0.727,100,8.33,rain,0,0,44.6,35.9,171.4,1020.7,84.1,10,151,13.1,9,10,2022-09-29T05:43:32,2022-09-29T18:05:02,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,30-09-2022,15.9,5.3,10.3,15.9,2.8,9.5,5.8,75.1,0.437,100,12.5,rain,0,0,37.8,23.7,140.4,1025.9,89.6,10,187.8,16.2,10,10,2022-09-30T05:42:06,2022-09-30T18:05:49,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,01-10-2022,13.8,5,9.8,13.8,5,8.8,5.4,75.3,0.735,100,12.5,rain,0,0,32.8,19.8,123.1,1023.4,90.1,10,199.4,17.3,9,10,2022-10-01T05:40:40,2022-10-01T18:06:35,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,02-10-2022,17.1,4.3,10.7,17.1,2.2,10,4.5,68.7,0,0,0,rain,0,0,20.5,16.1,93.9,1018.9,55.9,10,199.4,16.5,8,10,2022-10-02T06:39:14,2022-10-02T19:07:22,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,03-10-2022,18.7,4.1,10.9,18.7,2.4,10.5,5.9,74.4,0.001,100,4.17,rain,0,0,29.5,21.4,4.7,1020.1,81.8,10,272.1,23.4,10,10,2022-10-03T06:37:49,2022-10-03T19:08:09,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,04-10-2022,18,4.9,11.4,18,4.1,11.2,6.8,76.1,0,0,0,,0,0,40.3,22.9,63.8,1021.8,91.6,10,183.6,15.8,10,10,2022-10-04T06:36:24,2022-10-04T19:08:57,0.29,Overcast,Cloudy skies throughout the day.,cloudy,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,05-10-2022,11.8,8.7,10.1,11.8,6.1,9.2,8.6,90.4,11.801,100,16.67,rain,0,0,48.6,21.5,116.2,1025.7,93.4,10,18.1,1.6,1,10,2022-10-05T06:34:59,2022-10-05T19:09:45,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,06-10-2022,14.9,8.7,11.3,14.9,6.9,10.6,10.6,95.5,13.465,100,16.67,rain,0,0,49.7,12.3,158.7,1021.5,94.3,9.1,73.9,6.3,4,10,2022-10-06T06:33:35,2022-10-06T19:10:33,0.36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,07-10-2022,14.7,7.4,12.1,14.7,6.2,12,11.8,98.4,19.725,100,8.33,rain,0,0,34.2,12.1,10.4,1015.1,92.6,8.4,48.5,4.1,2,10,2022-10-07T06:32:11,2022-10-07T19:11:21,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,08-10-2022,18.6,9.8,14,18.6,9.3,13.9,12.2,90.2,4.873,100,12.5,rain,0,0,29.5,18.1,348.8,1014.7,90.8,9.8,65.3,5.6,5,10,2022-10-08T06:30:48,2022-10-08T19:12:10,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,09-10-2022,11.9,4.1,8,11.9,0.2,6,3.8,76.3,22.08,100,12.5,rain,0,0,41.8,27,181.8,1020,95.5,10,245.2,21.2,10,10,2022-10-09T06:29:25,2022-10-09T19:12:59,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,10-10-2022,15.8,2,9.3,15.8,-0.5,8,3.2,68.7,0,0,0,rain,0,0,39.2,22.9,92.1,1024.6,62.3,10,230.4,19.8,10,10,2022-10-10T06:28:03,2022-10-10T19:13:48,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,11-10-2022,17.8,9,12.6,17.8,7.4,12.2,6.8,69.4,0,0,0,rain,0,0,32.4,18.7,66.9,1023.2,87.1,10.6,227.3,19.6,10,10,2022-10-11T06:26:41,2022-10-11T19:14:38,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,12-10-2022,18,10,14.2,18,10,14.2,8.7,71,0,0,0,rain,0,0,35.6,19.9,64.7,1021.8,85.1,10,202.3,17.7,10,10,2022-10-12T06:25:20,2022-10-12T19:15:28,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
